"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",2.34548796813317e-193,-1.68557373774857,0.255,0.622,3.19994923492408e-189,"0","Tmsb4x"
"2",4.98820720520494e-160,0.844936528240233,0.702,0.394,6.80541109006111e-156,"0","Hspd1"
"3",4.41145823615589e-136,0.815247745495743,0.645,0.342,6.01855247158748e-132,"0","Ctage5"
"4",4.69270312711155e-131,0.841989766900574,0.571,0.275,6.40225487631829e-127,"0","Nolc1"
"5",9.1863349564861e-116,-0.908209277528718,0.705,0.837,1.2532916781134e-111,"0","Malat1"
"6",1.45169860549101e-88,-1.83739147566778,0.056,0.281,1.98055240747139e-84,"0","Tmsb10"
"7",2.02098914536021e-81,-1.93234326097009,0.019,0.216,2.75723549101493e-77,"0","Cd52"
"8",8.09131515791944e-69,-0.844068952364478,0.444,0.59,1.10389812699495e-64,"0","Rps27"
"9",1.78301754921342e-65,-1.32530382735084,0.054,0.238,2.43257084239187e-61,"0","Ccr9"
"10",7.13259194138321e-58,-0.929577542295643,0.25,0.438,9.73099518562911e-54,"0","Cd8b1"
"11",6.65594323059841e-38,-0.875413079555945,0.034,0.15,9.08070334950541e-34,"0","Cd4"
"12",2.69917722965162e-37,-1.38855423842963,0.018,0.122,3.6824874944137e-33,"0","Ms4a4b"
"13",6.36773652983083e-36,-0.908634689028716,0.034,0.145,8.6875029476482e-32,"0","Sp100"
"14",8.38848257709497e-36,-0.907157269627547,0.019,0.12,1.14444067799307e-31,"0","Vim"
"15",2.54979443568435e-34,-0.914112945471465,0.029,0.133,3.47868454860416e-30,"0","Slfn2"
"16",1.27721672294133e-33,-1.00293334838413,0.067,0.185,1.74250677510886e-29,"0","H2-D1"
"17",2.40271391211136e-25,-0.800243648570975,0.033,0.117,3.27802259029353e-21,"0","Cnn2"
"18",2.54857153553222e-25,-0.868072732398054,0.048,0.138,3.4770161459266e-21,"0","Shisa5"
"19",1.49252186934481e-13,-1.04582980746636,0.052,0.109,2.03624758634713e-09,"0","Itm2a"
"20",5.19352469955774e-12,-1.83108262430527,0.291,0.361,7.08552574760662e-08,"0","Hbb-bs"
"21",8.29633219615152e-241,1.16016948633692,0.736,0.348,1.13186860152095e-236,"1","Rrm2"
"22",2.16444404736983e-163,0.947918575740364,0.711,0.388,2.95295101382666e-159,"1","Ccnd3"
"23",6.18062378493176e-114,1.08704849019848,0.471,0.21,8.4322250297824e-110,"1","Hist1h1b"
"24",4.94555077538156e-111,1.03200622003881,0.424,0.173,6.74721492285306e-107,"1","Esco2"
"25",4.64611134452001e-92,-0.937853488997936,0.318,0.592,6.33868970732864e-88,"1","Rps26"
"26",2.24376121064454e-82,-0.939006234884363,0.344,0.596,3.06116341968235e-78,"1","Rps29"
"27",4.19703524082616e-73,-1.01614816135136,0.204,0.445,5.72601517905914e-69,"1","Rps28"
"28",5.71395700763402e-68,-0.982956372827065,0.147,0.379,7.7955515455151e-64,"1","Rpl38"
"29",2.87745430371956e-66,-0.98095594113748,0.193,0.425,3.9257109065646e-62,"1","B2m"
"30",4.04732078999376e-65,-1.66906569973774,0.067,0.269,5.52175975378849e-61,"1","Tmsb10"
"31",8.63925998029373e-58,-1.76023356184229,0.032,0.205,1.17865423911147e-53,"1","Cd52"
